"","District","Count"
"1","AURANGABAD",4946
"2","BEED",1435
"3","JALNA",1345
"4","OSMANABAD",736
"5","AHMEDNAGAR",595
"6","BULDHANA",574
"7","PARBHANI",557
"8","NANDED",437
"9","NASHIK",381
"10","PUNE",381
"11","LATUR",330
"12","HINGOLI",268
"13","SOLAPUR",222
"14","JALGAON",190
"15","WASHIM",169
"16","THANE",162
"17","",92
"18","SANGLI",84
"19","AKOLA",83
"20","DHULE",75
"21","YAVATMAL",72
"22","SATARA",69
"23","MUMBAI SUBURBAN",68
"24","NANDURBAR",66
"25","KOLHAPUR",61
"26","AMRAVATI",49
"27","PALGHAR",47
"28","RAIGAD",47
"29","MUMBAI",44
"30","NAGPUR",30
"31","CHANDRAPUR",24
"32","HYDERABAD",24
"33","NORTH GOA",20
"34","BIDAR",19
"35","WARDHA",16
"36","RATNAGIRI",15
"37","BHANDARA",10
"38","RANGAREDDI",10
"39","KALABURAGI",9
"40","SINDHUDURG",8
"41","BADGAM",6
"42","GONDIA",6
"43","VIJAYAPURA",5
"44","BELAGAVI",4
"45","BENGALURU URBAN",4
"46","DHARWAD",4
"47","ADILABAD",3
"48","BALLARI",3
"49","BARAMULLA",3
"50","GADCHIROLI",3
"51","SURAT",3
"52","UTTAR KANNAD",3
"53","CHITRADURGA",2
"54","COOCHBEHAR",2
"55","GAUTAM BUDDHA NAGAR",2
"56","KANPUR NAGAR",2
"57","LUCKNOW",2
"58","MEDAK",2
"59","NAGAON",2
"60","NEW DELHI",2
"61","TUMAKURU",2
"62","UDUPI",2
"63","ARARIA",1
"64","ASHOKNAGAR",1
"65","BALLIA",1
"66","BENGALURU RURAL",1
"67","BHARUCH",1
"68","BHILWARA",1
"69","BHOPAL",1
"70","BURHANPUR",1
"71","CHANDIGARH",1
"72","CHITTORGARH",1
"73","DADRA AND NAGAR HAVELI",1
"74","DAVANGERE",1
"75","EAST GODAVARI",1
"76","ETAWAH",1
"77","GURDASPUR",1
"78","GURGAON",1
"79","GWALIOR",1
"80","HAVERI",1
"81","HOSHANGABAD",1
"82","INDORE",1
"83","JIND",1
"84","KALAHANDI",1
"85","KAMRUP",1
"86","KHAMMAM",1
"87","KOKRAJHAR",1
"88","KOTA",1
"89","KRISHNA",1
"90","MAU",1
"91","NALANDA",1
"92","NALGONDA",1
"93","NIZAMABAD",1
"94","NORTH",1
"95","NORTH EAST",1
"96","NORTH WEST",1
"97","PALWAL",1
"98","PATNA",1
"99","RAIPUR",1
"100","RAJNANDGAON",1
"101","SAGAR",1
"102","SHIVAMOGGA",1
"103","SOUTH GOA",1
"104","SOUTH WEST",1
"105","VADODARA",1
"106","VALSAD",1
"107","VARANASI",1
"108","WEST",1
"109","WEST GODAVARI",1
"110","Y.S.R.",1
